transaction_id,user_id,transaction_date,transaction_time,corridor,amount_usd,status,source_country,destination_country,user_segment
TXN_000001,USR_3445,2025-10-15,15:20:38,USD_COP,1753.12,success,US,CO,retail
TXN_000002,USR_1185,2025-11-27,12:01:23,USD_COP,2623.0,success,US,CO,retail
TXN_000003,USR_2748,2025-09-27,08:26:58,USD_MXN,2309.56,failed,US,MX,retail
TXN_000004,USR_3557,2025-12-22,10:43:54,USD_COP,7416.15,success,US,CO,sme
TXN_000005,USR_2825,2025-12-14,09:03:24,USD_COP,7328.16,success,US,CO,sme
TXN_000006,USR_3153,2025-09-30,19:06:43,USD_MXN,6966.24,failed,US,MX,sme
TXN_000007,USR_0162,2025-07-02,13:53:41,USD_MXN,2838.26,failed,US,MX,retail
TXN_000008,USR_0338,2025-10-03,15:13:22,USD_COP,1921.88,success,US,CO,retail
TXN_000009,USR_2569,2025-11-01,16:28:14,USD_COP,1121.85,failed,US,CO,retail
TXN_000010,USR_4475,2025-09-01,18:50:16,MXN_COP,4360.83,success,MX,CO,sme
TXN_000011,USR_4599,2025-08-10,19:06:08,USD_MXN,7863.09,success,US,MX,sme
TXN_000012,USR_2691,2025-10-07,19:39:21,USD_MXN,9710.49,success,US,MX,sme
TXN_000013,USR_1485,2025-11-19,14:26:08,MXN_COP,1691.27,success,MX,CO,retail
TXN_000014,USR_3243,2025-08-21,11:29:36,USD_MXN,1835.27,success,US,MX,retail
TXN_000015,USR_1598,2025-09-09,18:50:21,USD_MXN,3823.47,success,US,MX,retail
TXN_000016,USR_1530,2025-07-28,19:43:19,USD_COP,2758.26,success,US,CO,retail
TXN_000017,USR_0710,2025-11-06,16:26:56,USD_MXN,9226.1,success,US,MX,sme
TXN_000018,USR_3446,2025-12-12,08:50:41,USD_COP,4188.08,success,US,CO,sme
TXN_000019,USR_3458,2025-12-27,08:48:57,USD_MXN,4081.71,success,US,MX,retail
TXN_000020,USR_3475,2025-09-19,18:48:01,MXN_COP,11733.76,success,MX,CO,enterprise
TXN_000021,USR_4219,2025-12-07,13:31:54,MXN_COP,1628.86,success,MX,CO,retail
TXN_000022,USR_0609,2025-09-07,11:33:05,USD_MXN,2306.3,success,US,MX,retail
TXN_000023,USR_1987,2025-10-01,10:19:59,USD_MXN,3184.33,failed,US,MX,retail
TXN_000024,USR_4737,2025-08-21,16:32:39,COP_USD,3901.64,success,CO,US,sme
TXN_000025,USR_0624,2025-12-25,14:30:29,MXN_COP,1667.17,success,MX,CO,retail
TXN_000026,USR_2057,2025-07-02,08:47:11,USD_COP,2006.16,success,US,CO,retail
TXN_000027,USR_4683,2025-11-08,11:23:53,USD_MXN,3506.61,success,US,MX,retail
TXN_000028,USR_2962,2025-10-12,11:34:47,MXN_USD,1095.71,success,MX,US,retail
TXN_000029,USR_4494,2025-08-23,10:15:40,USD_MXN,1604.16,failed,US,MX,retail
TXN_000030,USR_4556,2025-11-05,15:06:02,USD_MXN,3121.48,success,US,MX,retail
TXN_000031,USR_0226,2025-07-22,13:37:44,USD_COP,1845.17,success,US,CO,retail
TXN_000032,USR_4643,2025-10-19,08:04:59,USD_COP,2375.52,success,US,CO,retail
TXN_000033,USR_1061,2025-12-19,19:29:28,MXN_COP,8922.46,success,MX,CO,enterprise
TXN_000034,USR_2976,2025-12-28,10:59:32,MXN_USD,3221.94,success,MX,US,sme
TXN_000035,USR_1896,2025-11-05,09:24:41,COP_USD,6319.08,success,CO,US,sme
TXN_000036,USR_4058,2025-12-22,13:22:01,USD_MXN,5279.15,success,US,MX,sme
TXN_000037,USR_1842,2025-08-12,13:47:38,MXN_COP,1015.62,success,MX,CO,retail
TXN_000038,USR_4496,2025-11-12,16:35:44,COP_USD,1044.66,success,CO,US,retail
TXN_000039,USR_4147,2025-11-20,19:33:01,USD_MXN,2431.19,success,US,MX,retail
TXN_000040,USR_4934,2025-11-02,13:57:57,USD_COP,818.63,failed,US,CO,retail
TXN_000041,USR_4870,2025-10-09,08:07:52,USD_MXN,1905.36,success,US,MX,retail
TXN_000042,USR_0636,2025-08-16,10:54:39,USD_MXN,3337.19,success,US,MX,retail
TXN_000043,USR_0117,2025-10-28,10:27:57,MXN_COP,6388.55,failed,MX,CO,enterprise
TXN_000044,USR_0560,2025-11-17,12:00:57,USD_MXN,9906.5,success,US,MX,sme
TXN_000045,USR_4250,2025-11-06,14:04:21,USD_MXN,3349.62,failed,US,MX,retail
TXN_000046,USR_3060,2025-07-29,19:04:46,USD_COP,841.64,success,US,CO,retail
TXN_000047,USR_2071,2025-12-23,12:38:35,USD_MXN,14743.45,success,US,MX,enterprise
TXN_000048,USR_1632,2025-10-08,09:51:30,USD_MXN,1098.21,success,US,MX,retail
TXN_000049,USR_3547,2025-07-04,15:15:54,COP_USD,2529.62,success,CO,US,retail
TXN_000050,USR_3914,2025-12-10,19:32:32,COP_USD,2266.18,success,CO,US,retail
TXN_000051,USR_0776,2025-07-12,09:50:49,USD_MXN,8281.05,failed,US,MX,sme
TXN_000052,USR_1517,2025-12-09,10:40:06,USD_COP,1015.87,success,US,CO,retail
TXN_000053,USR_2787,2025-07-21,16:35:09,MXN_USD,16700.03,success,MX,US,enterprise
TXN_000054,USR_2327,2025-10-04,15:22:31,MXN_USD,7607.11,success,MX,US,sme
TXN_000055,USR_0396,2025-07-17,08:19:47,MXN_COP,10309.19,success,MX,CO,enterprise
TXN_000056,USR_3578,2025-07-09,14:27:13,MXN_USD,2545.46,success,MX,US,retail
TXN_000057,USR_3223,2025-10-07,19:24:51,USD_COP,5862.59,success,US,CO,sme
TXN_000058,USR_0733,2025-12-28,17:57:38,MXN_COP,17948.73,success,MX,CO,enterprise
TXN_000059,USR_1543,2025-09-14,16:09:57,USD_COP,18318.82,success,US,CO,enterprise
TXN_000060,USR_2387,2025-11-14,09:26:57,USD_COP,3233.02,success,US,CO,sme
TXN_000061,USR_3142,2025-09-24,11:16:06,USD_COP,2968.5,success,US,CO,retail
TXN_000062,USR_3523,2025-10-16,13:38:26,MXN_COP,2695.41,success,MX,CO,sme
TXN_000063,USR_1959,2025-11-03,17:19:27,USD_MXN,8870.36,success,US,MX,sme
TXN_000064,USR_3628,2025-10-21,16:55:32,MXN_COP,902.23,success,MX,CO,retail
TXN_000065,USR_1251,2025-08-16,12:15:53,MXN_USD,3170.1,success,MX,US,retail
TXN_000066,USR_3638,2025-08-16,16:48:13,MXN_COP,9110.62,success,MX,CO,enterprise
TXN_000067,USR_0668,2025-07-12,17:31:15,USD_COP,2753.09,success,US,CO,retail
TXN_000068,USR_4965,2025-12-11,17:07:57,USD_MXN,5105.76,success,US,MX,sme
TXN_000069,USR_0925,2025-11-22,16:32:52,MXN_USD,2890.76,success,MX,US,retail
TXN_000070,USR_2872,2025-11-11,09:50:04,USD_MXN,25528.67,success,US,MX,enterprise
TXN_000071,USR_4949,2025-07-05,14:55:32,COP_USD,2199.65,success,CO,US,retail
TXN_000072,USR_0511,2025-08-28,18:48:12,MXN_COP,2028.64,failed,MX,CO,sme
TXN_000073,USR_1461,2025-07-06,19:16:04,USD_MXN,34993.08,success,US,MX,enterprise
TXN_000074,USR_4781,2025-09-21,08:20:13,USD_COP,1211.35,success,US,CO,retail
TXN_000075,USR_0250,2025-10-21,15:31:33,USD_COP,4290.81,success,US,CO,sme
TXN_000076,USR_4859,2025-10-31,09:11:00,USD_COP,1991.79,success,US,CO,retail
TXN_000077,USR_4531,2025-08-16,14:14:36,USD_COP,18355.42,success,US,CO,enterprise
TXN_000078,USR_4543,2025-08-07,09:33:17,COP_USD,1436.64,success,CO,US,retail
TXN_000079,USR_4893,2025-09-17,19:29:54,MXN_COP,1388.24,success,MX,CO,retail
TXN_000080,USR_4301,2025-09-12,08:59:19,USD_MXN,2496.28,success,US,MX,retail
TXN_000081,USR_0900,2025-10-23,16:22:54,USD_MXN,2892.01,success,US,MX,retail
TXN_000082,USR_3123,2025-10-04,10:26:28,USD_MXN,10311.77,success,US,MX,sme
TXN_000083,USR_0524,2025-09-30,17:21:20,USD_MXN,7341.01,success,US,MX,sme
TXN_000084,USR_2262,2025-09-16,17:44:26,USD_MXN,3775.18,success,US,MX,sme
TXN_000085,USR_1277,2025-09-01,08:25:35,USD_MXN,3589.53,success,US,MX,retail
TXN_000086,USR_0365,2025-08-25,13:13:25,MXN_USD,2755.09,success,MX,US,retail
TXN_000087,USR_1532,2025-10-23,14:02:46,USD_MXN,31188.8,success,US,MX,enterprise
TXN_000088,USR_1297,2025-10-23,16:54:36,USD_MXN,4775.99,success,US,MX,sme
TXN_000089,USR_0067,2025-08-13,16:16:12,USD_MXN,7655.15,success,US,MX,sme
TXN_000090,USR_2473,2025-10-19,13:33:46,USD_COP,6227.2,success,US,CO,sme
TXN_000091,USR_3449,2025-09-02,09:58:55,USD_MXN,2619.48,success,US,MX,retail
TXN_000092,USR_2398,2025-09-08,14:47:03,USD_MXN,31345.03,failed,US,MX,enterprise
TXN_000093,USR_0006,2025-11-08,10:30:39,USD_MXN,3245.43,success,US,MX,retail
TXN_000094,USR_4290,2025-07-04,13:53:48,USD_COP,1854.18,success,US,CO,retail
TXN_000095,USR_0724,2025-12-26,19:04:05,USD_COP,2927.99,success,US,CO,retail
TXN_000096,USR_4235,2025-08-16,08:25:13,USD_COP,3943.15,success,US,CO,sme
TXN_000097,USR_1674,2025-07-03,08:05:49,MXN_USD,5343.9,success,MX,US,sme
TXN_000098,USR_2959,2025-11-07,11:00:36,MXN_USD,2815.18,success,MX,US,sme
TXN_000099,USR_0376,2025-10-02,08:04:59,USD_COP,7325.13,success,US,CO,sme
TXN_000100,USR_3851,2025-08-04,08:39:21,MXN_USD,3069.33,success,MX,US,sme
