user_id,country,user_segment,registration_date,status
USR_0001,Colombia,retail,2024-01-19,active
USR_0002,Mexico,retail,2024-09-01,active
USR_0003,Colombia,sme,2024-08-28,inactive
USR_0004,Mexico,sme,2024-01-23,inactive
USR_0005,Colombia,retail,2023-08-17,active
USR_0006,Mexico,enterprise,2024-11-04,active
USR_0007,Colombia,retail,2024-08-28,active
USR_0008,Colombia,sme,2024-05-02,active
USR_0009,Colombia,retail,2023-08-14,active
USR_0010,Mexico,sme,2024-11-16,active
USR_0011,Mexico,retail,2024-09-15,active
USR_0012,Colombia,retail,2024-10-08,active
USR_0013,Colombia,retail,2024-08-13,inactive
USR_0014,Mexico,enterprise,2023-12-11,active
USR_0015,Colombia,sme,2024-02-19,active
USR_0016,Mexico,sme,2024-02-10,active
USR_0017,Mexico,retail,2024-05-03,active
USR_0018,Mexico,sme,2024-12-21,active
USR_0019,Mexico,sme,2023-07-28,inactive
USR_0020,Colombia,retail,2023-11-10,active
USR_0021,Colombia,retail,2023-11-28,active
USR_0022,Colombia,sme,2023-08-07,active
USR_0023,Mexico,enterprise,2023-10-10,active
USR_0024,Colombia,retail,2024-05-22,active
USR_0025,Mexico,sme,2023-12-20,active
USR_0026,Mexico,sme,2023-07-22,active
USR_0027,Colombia,retail,2023-07-24,active
USR_0028,Colombia,sme,2023-12-16,active
USR_0029,Mexico,sme,2023-12-02,active
USR_0030,Mexico,retail,2023-07-19,active
USR_0031,Colombia,sme,2024-08-07,active
USR_0032,Mexico,retail,2024-05-19,active
USR_0033,Mexico,retail,2024-06-24,active
USR_0034,Colombia,sme,2023-10-08,active
USR_0035,Colombia,retail,2024-02-28,active
USR_0036,Colombia,retail,2024-03-16,active
USR_0037,Colombia,retail,2024-02-11,inactive
USR_0038,Colombia,sme,2024-04-22,active
USR_0039,Mexico,sme,2024-10-01,active
USR_0040,Mexico,retail,2023-12-09,active
USR_0041,Colombia,retail,2024-04-02,active
USR_0042,Mexico,sme,2023-08-14,inactive
USR_0043,Mexico,retail,2024-12-01,inactive
USR_0044,Mexico,retail,2023-08-27,active
USR_0045,Mexico,enterprise,2023-08-03,active
USR_0046,Mexico,sme,2024-04-30,active
USR_0047,Colombia,retail,2023-10-08,inactive
USR_0048,Colombia,retail,2024-05-06,active
USR_0049,Colombia,sme,2023-12-07,active
USR_0050,Colombia,sme,2024-05-08,active
USR_0051,Colombia,retail,2024-10-16,active
USR_0052,Mexico,sme,2023-10-20,active
USR_0053,Mexico,enterprise,2024-03-07,active
USR_0054,Mexico,retail,2024-01-07,active
USR_0055,Colombia,retail,2024-06-24,active
USR_0056,Mexico,retail,2023-12-27,active
USR_0057,Colombia,sme,2023-08-22,active
USR_0058,Mexico,enterprise,2024-04-29,active
USR_0059,Colombia,sme,2024-07-05,inactive
USR_0060,Colombia,retail,2023-10-21,active
USR_0061,Mexico,sme,2024-08-20,inactive
USR_0062,Mexico,sme,2023-09-11,active
USR_0063,Mexico,sme,2024-09-20,active
USR_0064,Mexico,sme,2023-09-04,active
USR_0065,Colombia,retail,2024-03-27,active
USR_0066,Mexico,retail,2024-11-20,active
USR_0067,Colombia,sme,2023-10-18,inactive
USR_0068,Mexico,sme,2024-03-07,active
USR_0069,Colombia,sme,2024-06-29,active
USR_0070,Mexico,retail,2023-12-10,inactive
USR_0071,Colombia,retail,2024-03-27,active
USR_0072,Mexico,enterprise,2024-08-22,active
USR_0073,Colombia,sme,2024-01-16,active
USR_0074,Mexico,retail,2023-09-23,active
USR_0075,Colombia,enterprise,2024-08-08,active
USR_0076,Mexico,enterprise,2024-10-28,active
USR_0077,Mexico,sme,2023-09-24,inactive
USR_0078,Colombia,retail,2024-03-03,active
USR_0079,Colombia,retail,2024-05-29,active
USR_0080,Colombia,retail,2024-02-28,active
USR_0081,Mexico,sme,2024-09-12,active
USR_0082,Colombia,enterprise,2024-07-07,active
USR_0083,Colombia,retail,2024-04-28,inactive
USR_0084,Colombia,sme,2024-03-07,active
USR_0085,Mexico,sme,2023-08-12,active
USR_0086,Colombia,retail,2023-08-16,active
USR_0087,Colombia,sme,2024-12-15,active
USR_0088,Colombia,sme,2024-06-11,active
USR_0089,Colombia,sme,2024-10-09,active
USR_0090,Mexico,retail,2023-11-24,inactive
USR_0091,Mexico,retail,2024-03-16,active
USR_0092,Colombia,sme,2024-09-30,active
USR_0093,Colombia,sme,2024-06-21,active
USR_0094,Mexico,sme,2023-12-02,active
USR_0095,Mexico,sme,2024-05-28,active
USR_0096,Colombia,retail,2024-07-30,active
USR_0097,Mexico,enterprise,2024-05-08,active
USR_0098,Mexico,retail,2024-06-26,active
USR_0099,Colombia,retail,2024-09-25,inactive
USR_0100,Colombia,sme,2024-04-23,active
USR_0101,Mexico,retail,2024-01-30,active
USR_0102,Mexico,retail,2024-11-08,active
USR_0103,Mexico,sme,2024-06-02,inactive
USR_0104,Colombia,retail,2024-04-25,active
USR_0105,Mexico,enterprise,2024-04-03,active
USR_0106,Colombia,retail,2024-05-28,inactive
USR_0107,Mexico,sme,2024-03-23,active
USR_0108,Colombia,retail,2023-11-12,active
USR_0109,Colombia,enterprise,2024-02-18,inactive
USR_0110,Mexico,retail,2024-04-01,inactive
USR_0111,Colombia,retail,2024-07-11,active
USR_0112,Mexico,retail,2023-10-14,active
USR_0113,Mexico,sme,2024-08-29,active
USR_0114,Mexico,retail,2024-09-05,active
USR_0115,Mexico,enterprise,2024-12-27,inactive
USR_0116,Colombia,sme,2024-09-24,active
USR_0117,Mexico,retail,2024-07-20,active
USR_0118,Mexico,sme,2023-09-23,active
USR_0119,Mexico,retail,2023-12-06,active
USR_0120,Mexico,sme,2024-08-20,active
USR_0121,Mexico,retail,2023-07-15,active
USR_0122,Mexico,sme,2023-12-07,active
USR_0123,Mexico,retail,2024-07-10,active
USR_0124,Colombia,retail,2024-10-30,active
USR_0125,Colombia,retail,2023-08-23,active
USR_0126,Mexico,retail,2024-01-20,active
USR_0127,Colombia,sme,2024-01-21,active
USR_0128,Colombia,sme,2024-03-18,active
USR_0129,Mexico,retail,2024-02-07,active
USR_0130,Colombia,retail,2024-12-13,active
USR_0131,Colombia,retail,2023-08-07,inactive
USR_0132,Mexico,enterprise,2023-12-09,active
USR_0133,Mexico,retail,2024-04-12,inactive
USR_0134,Mexico,sme,2024-07-30,active
USR_0135,Colombia,sme,2024-01-15,active
USR_0136,Colombia,retail,2024-09-14,active
USR_0137,Mexico,sme,2023-10-20,active
USR_0138,Mexico,retail,2023-10-28,active
USR_0139,Colombia,enterprise,2024-09-20,active
USR_0140,Mexico,sme,2024-06-21,active
USR_0141,Colombia,sme,2024-07-18,active
USR_0142,Mexico,retail,2023-07-08,active
USR_0143,Mexico,enterprise,2024-07-09,active
USR_0144,Colombia,enterprise,2024-11-25,active
USR_0145,Mexico,sme,2024-11-17,active
USR_0146,Mexico,sme,2023-09-03,active
USR_0147,Mexico,retail,2024-04-21,inactive
USR_0148,Mexico,retail,2023-10-01,active
USR_0149,Mexico,retail,2024-03-08,inactive
USR_0150,Colombia,retail,2023-09-08,active
USR_0151,Mexico,sme,2023-11-15,active
USR_0152,Colombia,retail,2023-11-22,inactive
USR_0153,Mexico,sme,2024-08-05,active
USR_0154,Mexico,sme,2023-10-08,active
USR_0155,Mexico,enterprise,2024-06-30,inactive
USR_0156,Mexico,sme,2024-03-20,inactive
USR_0157,Colombia,enterprise,2023-08-13,active
USR_0158,Colombia,retail,2024-11-07,active
USR_0159,Colombia,sme,2024-11-18,active
USR_0160,Colombia,sme,2024-12-18,active
USR_0161,Colombia,enterprise,2024-01-17,active
USR_0162,Colombia,retail,2024-10-05,inactive
USR_0163,Mexico,retail,2023-12-22,inactive
USR_0164,Colombia,sme,2024-09-18,inactive
USR_0165,Mexico,retail,2023-07-20,active
USR_0166,Colombia,retail,2023-09-10,active
USR_0167,Colombia,retail,2024-07-24,inactive
USR_0168,Colombia,enterprise,2023-11-28,active
USR_0169,Mexico,sme,2023-07-09,active
USR_0170,Mexico,retail,2024-01-31,active
USR_0171,Colombia,sme,2024-12-24,active
USR_0172,Mexico,retail,2024-07-31,active
USR_0173,Mexico,enterprise,2024-10-31,inactive
USR_0174,Mexico,retail,2024-04-28,active
USR_0175,Mexico,retail,2024-06-08,active
USR_0176,Colombia,retail,2024-11-01,active
USR_0177,Colombia,retail,2024-06-12,active
USR_0178,Colombia,retail,2024-05-31,active
USR_0179,Colombia,retail,2024-06-05,active
USR_0180,Mexico,retail,2023-10-09,active
USR_0181,Colombia,enterprise,2024-07-06,active
USR_0182,Mexico,retail,2023-07-18,inactive
USR_0183,Mexico,retail,2024-04-13,active
