transaction_date,txn_count,successful,failed,failure_rate,total_value
2025-07-01 00:00:00,270,239,31,11.48,1607999.09
2025-07-02 00:00:00,271,248,23,8.49,1393100.65
2025-07-03 00:00:00,248,227,21,8.47,1437171.65
2025-07-04 00:00:00,277,258,19,6.86,1466370.76
2025-07-05 00:00:00,286,259,27,9.44,1566567.77
2025-07-06 00:00:00,267,245,22,8.24,1673884.1
2025-07-07 00:00:00,266,235,31,11.65,1748935.85
2025-07-08 00:00:00,291,259,32,11.0,1571102.96
2025-07-09 00:00:00,285,253,32,11.23,1536972.12
2025-07-10 00:00:00,261,240,21,8.05,1350219.64
2025-07-11 00:00:00,300,276,24,8.0,1868688.34
2025-07-12 00:00:00,275,250,25,9.09,1469697.51
2025-07-13 00:00:00,282,255,27,9.57,1324895.53
2025-07-14 00:00:00,254,234,20,7.87,1421794.21
2025-07-15 00:00:00,262,240,22,8.4,1465046.86
2025-07-16 00:00:00,299,269,30,10.03,1694837.01
2025-07-17 00:00:00,262,245,17,6.49,1386128.6
2025-07-18 00:00:00,269,246,23,8.55,1455317.68
2025-07-19 00:00:00,284,259,25,8.8,1544896.84
2025-07-20 00:00:00,270,242,28,10.37,1610021.1
2025-07-21 00:00:00,273,247,26,9.52,1586263.58
2025-07-22 00:00:00,274,247,27,9.85,1511281.81
2025-07-23 00:00:00,306,278,28,9.15,1813473.57
2025-07-24 00:00:00,252,227,25,9.92,1422310.07
2025-07-25 00:00:00,265,246,19,7.17,1513665.04
2025-07-26 00:00:00,284,255,29,10.21,1556301.87
2025-07-27 00:00:00,268,239,29,10.82,1547232.27
2025-07-28 00:00:00,262,230,32,12.21,1348881.92
2025-07-29 00:00:00,265,239,26,9.81,1567359.99
2025-07-30 00:00:00,304,276,28,9.21,1701941.88
2025-07-31 00:00:00,247,220,27,10.93,1421704.9
2025-08-01 00:00:00,261,238,23,8.81,1672837.81
2025-08-02 00:00:00,271,240,31,11.44,1566550.89
2025-08-03 00:00:00,267,243,24,8.99,1502947.08
2025-08-04 00:00:00,263,240,23,8.75,1564848.09
